Sommet,Altitude,Massif / Localisation,Point culminant spécifique

Mont Lachens,1 714 m,Préalpes de Castellane (83),Toit du Var
Sainte-Baume,1 148 m,Massif de la Sainte-Baume (83/13),Signal des Béguines
Montagne Sainte-Victoire,1 011 m,Massif de la Sainte-Victoire (13),Pic des Mouches
Mont Aurélien,879 m,Mont Aurélien (83),Sommet de l'Aurélien
Montagne de la Loube,830 m,Centre-Var (83),La Loube
Gros Bessillon,813 m,Centre-Var (83),Le Gros Bessillon
Notre-Dame-des-Anges,768 m,Massif des Maures (83),Sommet des Maures
Mont Coudon,700 m,Monts Toulonnais (83),Le Coudon
Petit Bessillon,669 m,Centre-Var (83),Le Petit Bessillon
Rochers de Roquebrune,373 m,Bas-Argens (83),Les Trois Croix
